Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
SiteOrganizationId,Site Name,Alternate Name for the Site,SubContractorOrganizationId,ECEAP Subcontractor Name,ContractorOrganizationId,ECEAP Contractor Name,Facility Type,Line 1 Address,City,State,Zip Code,County,Enrollment Phone Number,Emergency Contact Name,Emergency Contact Email,Emergency Contact Phone,Alternate Phone,Total Funded Slots,Minimum Age of ECEAP Children in Months,Maximum Age of ECEAP Children in Months,GeoCodedPhysicalAddress,EAParticipation
"2,039",,,2038,,"2,028",Early Learning Child Development Resources,Family Child Care Home,,,WA,99207,Spokane,,,,,,9,36,69,,Yes
"1,443",Birches,Birches ECEAP,,Direct Service Site,30,Opportunity Council,Non-Profit Organization Building,3328 McAlpine Rd,Bellingham,WA,98225,Whatcom,3607389333,Tami Thomsen,tami_thomsen@oppco.org,3607389333,,18,36,69,"3328 McAlpine Rd
Bellingham, WA 98225
(48.775188, -122.523473)",Yes
303,Oroville ECEAP,Oroville ECEAP,,Direct Service Site,27,Okanogan County Child Development Assn.,Head Start Facility,1114 Main Street,Oroville,WA,98844,Okanogan,5098262466,Tauni Allen,tallen@occda.net,5094762171,,18,36,69,"1114 Main Street
Oroville, WA 98844
(48.9355, -119.436987)",Yes
"2,320",ChildStrive,,2303,ChildStrive,36,Snohomish County,Non-Profit Organization Building,14 E Casino Road,Everett,WA,98208,Snohomish,4253535656,Deb Walrath,deb.walrath@childstrive.org,4252452565,,40,36,69,"14 E Casino Road
Everett, WA 98208
(47.921907, -122.232443)",Yes
387,Wapato Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,607 3rd Ave,Wapato,WA,98951,Yakima,5098773092,Toni Gutierrez,antonia.gutierrez@inspire-centers.org,5099732545,,40,36,69,"607 3rd Ave
Wapato, WA 98951",Yes
"1,492",Green Gable Childrens Learning Center North,,1489,Green Gable Childrens Learning Center North,12,ESD 101 - NEW ESD,Child Care Center Including Campus Child Care,415 E Holland Ave,Spokane,WA,99218,Spokane,5093232720,Rebecca Lee,greengable.rebecca@gmail.com,5094556110,,30,36,69,"415 E Holland Ave
Spokane, WA 99218
(47.744003, -117.404781)",Yes
202,Elma School District,Elma Elementary,57,Elma School District,2,Aberdeen School District,Public school or school district building,1235 Monte Elma Rd,Elma,WA,98541,Grays Harbor,3605377403,Stacey Rockey,srockey@eagles.edu,3604821123,,16,36,69,"1235 Monte Elma Rd
Elma, WA 98541
(47.003033, -123.434102)",Yes
"2,236",Tonasket ECEAP,,,Direct Service Site,27,Okanogan County Child Development Assn.,Non-Profit Organization Building,114 Locust Street,Tonasket,WA,98855,Okanogan,5098262466,Brenda Aparicio,baparicio@occda.net,5094864541,,29,36,69,"114 Locust Street
Tonasket, WA 98855
(47.810058, -119.645087)",Yes
"2,293",Tacoma Stafford Elementary ECEAP,,120,Tacoma School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,1615 South 92nd St.,Tacoma,WA,98444,Pierce,2535712620,Michelle Rahl-Lewis,mlewis1@tacoma.k12.wa.us,2535712615,,38,36,69,"1615 South 92nd St
Tacoma, WA 98444
(47.173797, -122.455578)",Yes
300,North Omak Elementary School,Omak ECEAP,,Direct Service Site,29,Omak School District,Public school or school district building,615 North Oak Street,Omak,WA,98841,Okanogan,5098262380,Shari Marcial,smarcial@omaksd.org,5098268139,,57,36,69,"615 North Oak Street
Omak, WA 98841
(48.416488, -119.516784)",Yes
"1,956",Darrington School District,,1955,Darrington School District,36,Snohomish County,Public school or school district building,1075 Fir St.,Darrington,WA,98241,Snohomish,3604361313,Geneen Cabe,gcabe@dsd.k12.wa.us,3603331813,,20,36,69,"1075 Fir St
Darrington, WA 98241
(48.248011, -121.60179)",Yes
604,Trentwood Elementary,,55,East Valley School District,8,Community Colleges of Spokane,Public school or school district building,E. 14701 Wellesley Ave.,Spokane Valley,WA,99216,Spokane,5098934123,Karen  Cloninger,cloningerk@evsd.org,5092415045,,36,36,69,"14701 Wellesley Ave
Spokane Valley, WA 99216
(47.700476, -117.207111)",Yes
246,Josephine Caring Community,Josephine Caring Community,69,Josephine Sunset Home,36,Snohomish County,Child Care Center Including Campus Child Care,9901 272ND PLACE NW,STANWOOD,WA,98292,Snohomish,3603863223,Linda Alumbaugh,linda.alumbaugh@josephinenet.com,3603863223,3604206937,40,36,69,"9901 272ND PLACE NW
STANWOOD, WA 98292
(48.243606, -122.367256)",Yes
402,EWU Children's Center,,135,YMCA of Spokane,8,Community Colleges of Spokane,Child Care Center Including Campus Child Care,923 WASHINGTON STREET,CHENEY,WA,99004,Spokane,5093592023,Anna  Culwell,ACulwell@ymcaspokane.org,5093592023,,44,36,69,"923 WASHINGTON STREET
CHENEY, WA 99004
(47.487065, -117.586346)",Yes
"2,298",Mead ELC at Midway,,,Direct Service Site,12,ESD 101 - NEW ESD,Public school or school district building,821 E Midway Road,Colbert,WA,99005,Spokane,5098479779,Kelli Jo Timberlake,kellie.timberlake@mead354.org,5094656732,,49,36,69,"821 E Midway Road
Colbert, WA 99005
(47.809121, -117.396245)",Yes
323,Quincy Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,310 H Street SW,Quincy,WA,98848,Grant,5097872511,Imelda Mendoza,imelda.mendoza@inspire-centers.org,5097872511,,60,36,69,"310 H Street SW
Quincy, WA 98848
(47.232115, -119.859716)",Yes
"1,993",Southwest Early Learning (SWEL),,1992,Sound Child Care Solutions,6,City of Seattle ,Non-Profit Organization Building,5405 Delridge Way SW,Seattle,WA,98106,King,2067676896,Karina Rojas-Rodriguez,krojas@soundchild.org,2069132980,,10,36,69,"5405 Delridge Way SW
Seattle, WA 98106
(47.553423, -122.362976)",Yes
"1,987",,,1985,,17,ESD 121 - Puget Sound ESD,Family Child Care Home,,,WA,98030,King,,,,,,4,36,69,,Yes
"2,105",Federal Way Sherwood Forest ECEAP,Sherwood Forest Elementary,64,Federal Way School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,34600 12th Ave SW,Federal Way,WA,98023,King,2539453862,Cynthia Aldrich,caldrich@fwps.org,2539453630,,20,36,69,"34600 12th Ave SW
Federal Way, WA 98023
(47.291857, -122.350797)",Yes
301,Orient ECEAP,Orient Elementary,,Direct Service Site,12,ESD 101 - NEW ESD,Public school or school district building,374 4th Avenue,Orient,WA,99160,Ferry,5086846873,Sherry Cowbrough,sherry.bowbrough@orientsd.org,5096846873,,6,36,69,"374 4th Avenue
Orient, WA 99160
(48.868039, -118.205433)",No
